TeresaJorda,ERC
de_santa_ana,PP
Hernanzsofia,PSOE
_ABallester,UP
ElviraRamon,PSOE
EBataller,Mixto
TeresaPalTous,PP
jillorenstorres,PP
Lucia___M,UP
joaquintorrevie,PP
EduMadina,PSOE
Rafa_Hernando,PP
sorayapsoe,PSOE
Mikele_V,UP
joanbaldovi,Mixto
MariaTorresTej,PP
anamadrazo61,PP
marianbeitia,Mixto
Irene_Montero_,UP
AntonGomezReino,UP
lcsahuquillo,PSOE
JoanTarda,ERC
JATorresMora,PSOE
Rsixtoiglesias,UP
Ferran_Bel,Mixto
ionebelarra,UP
miriamnoguerasM,Mixto
marianorajoy,PP
emeterina,PSOE
JoseMiguelCama1,PSOE
chanofranquis,PSOE
CarmenRCuello,PSOE
capdevilajoan,ERC
jsalvadorduch,ERC
bernabepaco,PP
MiguelGaraulet,Ciudadanos
NachoSAmor,PSOE
LoliMarcos,PP
anapastorjulian,PP
Pam_Angela_,UP
IsabelPodemos,UP
GloriaElizo,UP
J_Sanchez_Serna,UP
mrenau,UP
ruanojavier,PP
herick_campos,PSOE
rominguera,PSOE
Marta_Sibina,UP
odonelorza2011,PSOE
DolorsMM,PP
AGarciatizon,PP
mcduenas,PP
pedroacedo,PP
Saracarrenov,UP
BienveDeArriba,PP
juanluisgordo,PSOE
dvserrada,PSOE
nachoprendes,Ciudadanos
luzseijo,PSOE
Quin1954,PP
estherpcamarero,PSOE
soniafetesoro,PSOE
JDCarracedo,UP
Jefernandezmoya,PP
rosaromerocr,PP
ChiquilloBarber,PP
Angeles_isac,PP
PedroQuevedoIt,Mixto
aKollontai,UP
Tonicanto1,Ciudadanos
felipe_sicilia,PSOE
Sonia_Farre,UP
xavieritja,ERC
PabloBellido_Az,PSOE
eloysuarezl,PP
FMauraB,Ciudadanos
BelenHoyo,PP
Felisuco_,Ciudadanos
martinezmaillo,PP
felixaltafulla,UP
estercapella,ERC
raquelalonsoher,PP
_mundus, UP
VeraNoelia,UP
toniroldanm,Ciudadanos
TeoGarciaEgea,PP
mdcospedal,PP
belenbajo,PP
MercePerea,PSOE
GuillermoDiazCs,Ciudadanos
abalosmeco,PSOE
Adrilastra,PSOE
maherediadiaz,PSOE
micaela_navarro,PSOE
angeluisgonza,PP
gmariscalanaya,PP
frdelatorre,Ciudadanos
