Source,Target,Weight
_mundus,SimancasRafael,0.059263521288837745
_mundus,juanviperezaras,0.03452243958573072
_mundus,_Irene_Rivera,0.005753739930955121
_mundus,elenabastidasb,0.023014959723820484
_mundus,DolorsMM,0.01380897583429229
_mundus,joaquintorrevie,0.018411967779056387
_mundus,maherediadiaz,0.0333716915995397
_mundus,NachoSAmor,0.10184119677790564
_mundus,jruizcarbonell,0.004027617951668585
_mundus,NTremino,0.006329113924050633
_mundus,JATorresMora,0.06846950517836593
_mundus,MarcLamua,0.06731875719217491
_mundus,anamadrazo61,0.01611047180667434
_mundus,CarmenRCuello,0.02243958573072497
_mundus,MercePerea,0.1622554660529344
_mundus,capdevilajoan,0.059263521288837745
_mundus,J_Sanchez_Serna,0.07364787111622555
_mundus,Saludisabel,0.05005753739930955
_mundus,AlfonsoCandon,0.0017261219792865361
_mundus,estherpcamarero,0.04200230149597238
_mundus,martamartirio,0.04430379746835443
_mundus,sergimiquel,0.12140391254315305
_mundus,MiguelGaraulet,0.01726121979286536
_mundus,GregorioCmara,0.04257767548906789
_mundus,xavieritja,0.07940161104718067
_mundus,Jefernandezmoya,0.01611047180667434
_mundus,gpalacinguarne,0.03567318757192175
_mundus,juanBravoBaena,0.02761795166858458
_mundus,felixaltafulla,0.13981588032220943
_mundus,MarcialGoBal,0.011507479861910242
_mundus,Sonia_Farre,0.2094361334867664
_mundus,guillermomeijon,0.05005753739930955
_mundus,abalosmeco,0.04430379746835443
_mundus,Angeles_isac,0.019562715765247412
_mundus,jjalonso10,0.0034522439585730723
_mundus,bernabepaco,0.004027617951668585
_mundus,oskarmatute,0.0667433831990794
_mundus,AliciaSCamacho,0.035097813578826235
mrenau,Adrilastra,0.039122137404580155
mrenau,_mundus,0.3277671755725191
mrenau,mrenau,1.0
mrenau,sorayapsoe,0.07824427480916031
mrenau,JVMariBoso,0.021469465648854963
mrenau,ruanojavier,0.02433206106870229
mrenau,soniafetesoro,0.07633587786259542
mrenau,ManoloMonereo,0.02051526717557252
mrenau,frdelatorre,0.04389312977099236
mrenau,luzseijo,0.032919847328244274
mrenau,CesarJRamos,0.08444656488549618
mrenau,sanchezcastejon,0.00047709923664122136
mrenau,lciuro,0.042938931297709926
mrenau,Mjesusserranoj,0.0491412213740458
mrenau,GirautaOficial,0.018606870229007633
mrenau,herrerobono,0.012404580152671756
mrenau,martintoledano,0.030057251908396948
mrenau,isabelrguez,0.059637404580152674
mrenau,vicpiriz1975,0.039122137404580155
mrenau,RitaBosaho,0.14837786259541985
mrenau,casanyeta,0.036736641221374045
mrenau,felipe_sicilia,0.03244274809160305
mrenau,PiliCancela,0.07395038167938932
mrenau,SSumelzo,0.09255725190839695
mrenau,cesarluena,0.05677480916030534
mrenau,antoniotrevin,0.06536259541984733
mrenau,JaumeMoyaM,0.23520992366412213
mrenau,TeoGarciaEgea,0.03244274809160305
mrenau,AntonioHurtado,0.04341603053435115
mrenau,Irene_Montero_,0.24713740458015268
mrenau,AnaZurita7,0.023377862595419848
mrenau,VeraNoelia,0.11688931297709923
mrenau,lidiaguinart,0.07633587786259542
mrenau,FernanVello,0.04198473282442748
mrenau,vendrellj,0.2676526717557252
mrenau,PericoArrojo,0.07729007633587787
mrenau,pilarmarcosd,0.0691793893129771
mrenau,ionebelarra,0.21421755725190839
mrenau,FranciscoIgea,0.030534351145038167
mrenau,Carre1Ascension,0.011450381679389313
mrenau,PabloBellido_Az,0.05677480916030534
mrenau,odonelorza2011,0.08110687022900763
mrenau,mdcospedal,0.02099236641221374
mrenau,perejoanpons,0.09494274809160305
mrenau,IgnasiCandela,0.09780534351145038
mrenau,JuLMilla,0.06822519083969465
mrenau,jaimedeolano,0.03816793893129771
mrenau,micaela_navarro,0.025763358778625955
mrenau,AAlvarezAlvarez,0.07919847328244274
mrenau,joanmena,0.1736641221374046
mrenau,joanbaldovi,0.07490458015267176
mrenau,jsalvadorduch,0.10687022900763359
mrenau,pepecanonucia,0.05916030534351145
mrenau,antonipostius,0.022900763358778626
mrenau,AvelinoPP,0.022900763358778626
mrenau,LuisSalvador,0.00715648854961832
mrenau,herick_campos,0.04961832061068702
mrenau,ierrejon,0.22853053435114504
mrenau,EBataller,0.07729007633587787
mrenau,MayoralRafa,0.29103053435114506
mrenau,mrhciudadanos,0.03769083969465649
mrenau,ma_bustamante84,0.03625954198473282
mrenau,MartaGlezVzqz,0.030534351145038167
mrenau,emilio_delrio,0.016221374045801526
mrenau,MLorenzo2018,0.014790076335877863
mrenau,mapaniagua,0.01812977099236641
mrenau,BeatrizEscu,0.032919847328244274
mrenau,BienveDeArriba,0.02099236641221374
mrenau,juanmalpr,0.1650763358778626
mrenau,EvaGSempere,0.07013358778625954
mrenau,Pablo_Iglesias_,0.23807251908396945
mrenau,diego__clemente,0.046755725190839696
mrenau,anamarcelloana,0.15267175572519084
mrenau,Hernanzsofia,0.039122137404580155
mrenau,estercapella,0.0982824427480916
mrenau,miriamnoguerasM,0.03148854961832061
mrenau,VirginiaSalmeCs,0.02194656488549618
mrenau,mariagv,0.044370229007633585
mrenau,emeterina,0.015744274809160304
mrenau,pedroacedo,0.008110687022900763
mrenau,Guadalupem1960,0.06679389312977099
mrenau,SimancasRafael,0.07204198473282443
mrenau,juanviperezaras,0.035305343511450385
mrenau,_Irene_Rivera,0.008110687022900763
mrenau,elenabastidasb,0.03387404580152672
mrenau,DolorsMM,0.022900763358778626
mrenau,joaquintorrevie,0.02767175572519084
mrenau,maherediadiaz,0.04198473282442748
mrenau,NachoSAmor,0.1049618320610687
mrenau,jruizcarbonell,0.004770992366412214
mrenau,NTremino,0.012881679389312978
mrenau,JATorresMora,0.05916030534351145
mrenau,MarcLamua,0.061068702290076333
mrenau,anamadrazo61,0.025286259541984733
mrenau,CarmenRCuello,0.02862595419847328
mrenau,MercePerea,0.16364503816793893
mrenau,capdevilajoan,0.05343511450381679
mrenau,J_Sanchez_Serna,0.07108778625954199
mrenau,Saludisabel,0.0625
mrenau,AlfonsoCandon,0.006202290076335878
mrenau,estherpcamarero,0.053912213740458015
mrenau,martamartirio,0.05200381679389313
mrenau,sergimiquel,0.12643129770992367
mrenau,MiguelGaraulet,0.025286259541984733
mrenau,GregorioCmara,0.04532442748091603
mrenau,xavieritja,0.08874045801526717
mrenau,Jefernandezmoya,0.022900763358778626
mrenau,gpalacinguarne,0.04389312977099236
mrenau,juanBravoBaena,0.035305343511450385
mrenau,felixaltafulla,0.1407442748091603
mrenau,MarcialGoBal,0.013358778625954198
mrenau,Sonia_Farre,0.25429389312977096
mrenau,guillermomeijon,0.05677480916030534
mrenau,abalosmeco,0.05438931297709924
mrenau,Angeles_isac,0.02719465648854962
mrenau,jjalonso10,0.01097328244274809
mrenau,bernabepaco,0.008587786259541985
mrenau,oskarmatute,0.06536259541984733
mrenau,AliciaSCamacho,0.03387404580152672
sorayapsoe,Adrilastra,0.15288683602771364
sorayapsoe,_mundus,0.04803695150115474
sorayapsoe,mrenau,0.07575057736720554
sorayapsoe,sorayapsoe,1.0
sorayapsoe,JVMariBoso,0.016166281755196306
sorayapsoe,ruanojavier,0.022170900692840646
sorayapsoe,soniafetesoro,0.24387990762124712
sorayapsoe,ManoloMonereo,0.005080831408775982
sorayapsoe,frdelatorre,0.057736720554272515
sorayapsoe,luzseijo,0.14503464203233257
sorayapsoe,CesarJRamos,0.2323325635103926
sorayapsoe,sanchezcastejon,0.0018475750577367205
sorayapsoe,lciuro,0.023094688221709007
sorayapsoe,Mjesusserranoj,0.24387990762124712
sorayapsoe,GirautaOficial,0.019399538106235566
sorayapsoe,herrerobono,0.008775981524249422
sorayapsoe,martintoledano,0.03140877598152425
sorayapsoe,isabelrguez,0.16258660508083142
sorayapsoe,vicpiriz1975,0.03002309468822171
sorayapsoe,RitaBosaho,0.046651270207852195
sorayapsoe,casanyeta,0.017090069284064664
sorayapsoe,felipe_sicilia,0.1505773672055427
sorayapsoe,PiliCancela,0.15889145496535798
sorayapsoe,SSumelzo,0.2951501154734411
sorayapsoe,cesarluena,0.2554272517321016
sorayapsoe,antoniotrevin,0.2581986143187067
sorayapsoe,JaumeMoyaM,0.033718244803695153
sorayapsoe,TeoGarciaEgea,0.03048498845265589
sorayapsoe,AntonioHurtado,0.09053117782909931
sorayapsoe,Irene_Montero_,0.08683602771362586
sorayapsoe,AnaZurita7,0.014780600461893764
sorayapsoe,VeraNoelia,0.07159353348729793
sorayapsoe,lidiaguinart,0.15196304849884526
sorayapsoe,FernanVello,0.007390300230946882
sorayapsoe,vendrellj,0.06374133949191686
sorayapsoe,PericoArrojo,0.052193995381062355
sorayapsoe,pilarmarcosd,0.0605080831408776
sorayapsoe,ionebelarra,0.07852193995381063
sorayapsoe,FranciscoIgea,0.02817551963048499
sorayapsoe,Carre1Ascension,0.007390300230946882
sorayapsoe,PabloBellido_Az,0.18521939953810623
sorayapsoe,odonelorza2011,0.20600461893764435
sorayapsoe,mdcospedal,0.020323325635103928
sorayapsoe,perejoanpons,0.17782909930715934
sorayapsoe,IgnasiCandela,0.04757505773672056
sorayapsoe,JuLMilla,0.1884526558891455
sorayapsoe,jaimedeolano,0.029099307159353348
sorayapsoe,micaela_navarro,0.1325635103926097
sorayapsoe,AAlvarezAlvarez,0.17367205542725173
sorayapsoe,joanmena,0.041108545034642036
sorayapsoe,joanbaldovi,0.056812933025404154
sorayapsoe,jsalvadorduch,0.03279445727482679
sorayapsoe,pepecanonucia,0.052193995381062355
sorayapsoe,antonipostius,0.003233256351039261
sorayapsoe,AvelinoPP,0.016166281755196306
sorayapsoe,LuisSalvador,0.006466512702078522
sorayapsoe,herick_campos,0.22725173210161662
sorayapsoe,ierrejon,0.08498845265588914
sorayapsoe,EBataller,0.0535796766743649
sorayapsoe,MayoralRafa,0.09006928406466513
sorayapsoe,mrhciudadanos,0.04203233256351039
sorayapsoe,ma_bustamante84,0.015704387990762125
sorayapsoe,MartaGlezVzqz,0.026327944572748268
sorayapsoe,emilio_delrio,0.019399538106235566
sorayapsoe,MLorenzo2018,0.006466512702078522
sorayapsoe,mapaniagua,0.013394919168591224
sorayapsoe,BeatrizEscu,0.03233256351039261
sorayapsoe,BienveDeArriba,0.012933025404157044
sorayapsoe,juanmalpr,0.06235565819861432
sorayapsoe,EvaGSempere,0.018475750577367205
sorayapsoe,Pablo_Iglesias_,0.10161662817551963
sorayapsoe,diego__clemente,0.033718244803695153
sorayapsoe,anamarcelloana,0.04295612009237875
sorayapsoe,Hernanzsofia,0.12979214780600462
sorayapsoe,estercapella,0.03695150115473441
sorayapsoe,miriamnoguerasM,0.013394919168591224
sorayapsoe,VirginiaSalmeCs,0.018937644341801386
sorayapsoe,mariagv,0.14457274826789837
sorayapsoe,emeterina,0.08221709006928407
sorayapsoe,pedroacedo,0.003695150115473441
sorayapsoe,Guadalupem1960,0.24665127020785219
sorayapsoe,SimancasRafael,0.20785219399538107
sorayapsoe,juanviperezaras,0.040646651270207855
sorayapsoe,_Irene_Rivera,0.011547344110854504
sorayapsoe,elenabastidasb,0.03140877598152425
sorayapsoe,DolorsMM,0.018475750577367205
sorayapsoe,joaquintorrevie,0.02678983833718245
sorayapsoe,maherediadiaz,0.19584295612009237
sorayapsoe,NachoSAmor,0.2836027713625866
sorayapsoe,jruizcarbonell,0.08775981524249422
sorayapsoe,NTremino,0.017090069284064664
sorayapsoe,JATorresMora,0.3043879907621247
sorayapsoe,MarcLamua,0.08221709006928407
sorayapsoe,anamadrazo61,0.024942263279445726
sorayapsoe,CarmenRCuello,0.1510392609699769
sorayapsoe,MercePerea,0.2581986143187067
sorayapsoe,capdevilajoan,0.010161662817551964
sorayapsoe,J_Sanchez_Serna,0.023094688221709007
sorayapsoe,Saludisabel,0.028637413394919167
sorayapsoe,AlfonsoCandon,0.013394919168591224
sorayapsoe,estherpcamarero,0.15288683602771364
sorayapsoe,martamartirio,0.051270207852193994
sorayapsoe,sergimiquel,0.05635103926096998
sorayapsoe,MiguelGaraulet,0.015704387990762125
sorayapsoe,GregorioCmara,0.18706697459584296
sorayapsoe,xavieritja,0.015242494226327945
sorayapsoe,Jefernandezmoya,0.026327944572748268
sorayapsoe,gpalacinguarne,0.1140877598152425
sorayapsoe,juanBravoBaena,0.022170900692840646
sorayapsoe,felixaltafulla,0.026327944572748268
sorayapsoe,MarcialGoBal,0.008775981524249422
sorayapsoe,Sonia_Farre,0.03048498845265589
sorayapsoe,guillermomeijon,0.16674364896073904
sorayapsoe,abalosmeco,0.17505773672055427
sorayapsoe,Angeles_isac,0.018013856812933025
sorayapsoe,jjalonso10,0.004157043879907622
sorayapsoe,bernabepaco,0.006928406466512702
sorayapsoe,oskarmatute,0.03879907621247113
sorayapsoe,AliciaSCamacho,0.028637413394919167
JVMariBoso,Adrilastra,0.02681992337164751
JVMariBoso,_mundus,0.032567049808429116
JVMariBoso,mrenau,0.04310344827586207
JVMariBoso,sorayapsoe,0.033524904214559385
JVMariBoso,JVMariBoso,1.0
JVMariBoso,ruanojavier,0.09961685823754789
JVMariBoso,soniafetesoro,0.04118773946360153
JVMariBoso,ManoloMonereo,0.005747126436781609
JVMariBoso,frdelatorre,0.06226053639846743
JVMariBoso,luzseijo,0.0210727969348659
JVMariBoso,CesarJRamos,0.06417624521072797
JVMariBoso,sanchezcastejon,0.0
JVMariBoso,lciuro,0.022988505747126436
JVMariBoso,Mjesusserranoj,0.028735632183908046
JVMariBoso,GirautaOficial,0.033524904214559385
JVMariBoso,herrerobono,0.15421455938697318
JVMariBoso,martintoledano,0.18773946360153257
JVMariBoso,isabelrguez,0.04118773946360153
JVMariBoso,vicpiriz1975,0.11877394636015326
JVMariBoso,RitaBosaho,0.020114942528735632
JVMariBoso,casanyeta,0.023946360153256706
JVMariBoso,felipe_sicilia,0.022988505747126436
JVMariBoso,PiliCancela,0.044061302681992334
JVMariBoso,SSumelzo,0.07183908045977011
JVMariBoso,cesarluena,0.04118773946360153
JVMariBoso,antoniotrevin,0.032567049808429116
JVMariBoso,JaumeMoyaM,0.028735632183908046
JVMariBoso,TeoGarciaEgea,0.12452107279693486
JVMariBoso,AntonioHurtado,0.044061302681992334
JVMariBoso,Irene_Montero_,0.04885057471264368
JVMariBoso,AnaZurita7,0.09195402298850575
JVMariBoso,VeraNoelia,0.022030651340996167
JVMariBoso,lidiaguinart,0.03639846743295019
JVMariBoso,FernanVello,0.005747126436781609
JVMariBoso,vendrellj,0.035440613026819924
JVMariBoso,PericoArrojo,0.019157088122605363
JVMariBoso,pilarmarcosd,0.13218390804597702
JVMariBoso,ionebelarra,0.033524904214559385
JVMariBoso,FranciscoIgea,0.040229885057471264
JVMariBoso,Carre1Ascension,0.07471264367816093
JVMariBoso,PabloBellido_Az,0.02681992337164751
JVMariBoso,odonelorza2011,0.028735632183908046
JVMariBoso,mdcospedal,0.06704980842911877
JVMariBoso,perejoanpons,0.2231800766283525
JVMariBoso,IgnasiCandela,0.03639846743295019
JVMariBoso,JuLMilla,0.033524904214559385
JVMariBoso,jaimedeolano,0.1388888888888889
JVMariBoso,micaela_navarro,0.022030651340996167
JVMariBoso,AAlvarezAlvarez,0.03639846743295019
JVMariBoso,joanmena,0.0210727969348659
JVMariBoso,joanbaldovi,0.03735632183908046
JVMariBoso,jsalvadorduch,0.031609195402298854
JVMariBoso,pepecanonucia,0.06896551724137931
JVMariBoso,antonipostius,0.006704980842911878
JVMariBoso,AvelinoPP,0.12260536398467432
JVMariBoso,LuisSalvador,0.011494252873563218
JVMariBoso,herick_campos,0.035440613026819924
JVMariBoso,ierrejon,0.04118773946360153
JVMariBoso,EBataller,0.02490421455938697
JVMariBoso,MayoralRafa,0.04789272030651341
JVMariBoso,mrhciudadanos,0.038314176245210725
JVMariBoso,ma_bustamante84,0.012452107279693486
JVMariBoso,MartaGlezVzqz,0.1111111111111111
JVMariBoso,emilio_delrio,0.06513409961685823
JVMariBoso,MLorenzo2018,0.07662835249042145
JVMariBoso,mapaniagua,0.1532567049808429
JVMariBoso,BeatrizEscu,0.13984674329501914
JVMariBoso,BienveDeArriba,0.1752873563218391
JVMariBoso,juanmalpr,0.040229885057471264
JVMariBoso,EvaGSempere,0.011494252873563218
JVMariBoso,Pablo_Iglesias_,0.038314176245210725
JVMariBoso,diego__clemente,0.04310344827586207
JVMariBoso,anamarcelloana,0.022988505747126436
JVMariBoso,Hernanzsofia,0.09003831417624521
JVMariBoso,estercapella,0.032567049808429116
JVMariBoso,miriamnoguerasM,0.019157088122605363
JVMariBoso,VirginiaSalmeCs,0.0210727969348659
JVMariBoso,mariagv,0.040229885057471264
JVMariBoso,emeterina,0.012452107279693486
JVMariBoso,pedroacedo,0.11973180076628352
JVMariBoso,Guadalupem1960,0.0421455938697318
JVMariBoso,SimancasRafael,0.05076628352490421
JVMariBoso,juanviperezaras,0.09003831417624521
JVMariBoso,_Irene_Rivera,0.014367816091954023
JVMariBoso,elenabastidasb,0.12164750957854406
JVMariBoso,DolorsMM,0.08141762452107279
JVMariBoso,joaquintorrevie,0.13697318007662834
JVMariBoso,maherediadiaz,0.02490421455938697
JVMariBoso,NachoSAmor,0.0603448275862069
JVMariBoso,jruizcarbonell,0.007662835249042145
JVMariBoso,NTremino,0.05076628352490421
JVMariBoso,JATorresMora,0.0421455938697318
JVMariBoso,MarcLamua,0.03065134099616858
JVMariBoso,anamadrazo61,0.1360153256704981
JVMariBoso,CarmenRCuello,0.027777777777777776
JVMariBoso,MercePerea,0.07854406130268199
JVMariBoso,capdevilajoan,0.022988505747126436
JVMariBoso,J_Sanchez_Serna,0.016283524904214558
JVMariBoso,Saludisabel,0.018199233716475097
JVMariBoso,AlfonsoCandon,0.06226053639846743
JVMariBoso,estherpcamarero,0.03735632183908046
JVMariBoso,martamartirio,0.04789272030651341
JVMariBoso,sergimiquel,0.04693486590038314
JVMariBoso,MiguelGaraulet,0.04118773946360153
JVMariBoso,GregorioCmara,0.033524904214559385
JVMariBoso,xavieritja,0.014367816091954023
JVMariBoso,Jefernandezmoya,0.16091954022988506
JVMariBoso,gpalacinguarne,0.027777777777777776
JVMariBoso,juanBravoBaena,0.1532567049808429
JVMariBoso,felixaltafulla,0.0210727969348659
JVMariBoso,MarcialGoBal,0.016283524904214558
JVMariBoso,Sonia_Farre,0.008620689655172414
JVMariBoso,guillermomeijon,0.022030651340996167
JVMariBoso,abalosmeco,0.03639846743295019
JVMariBoso,Angeles_isac,0.12260536398467432
JVMariBoso,jjalonso10,0.07088122605363985
JVMariBoso,bernabepaco,0.07567049808429119
JVMariBoso,oskarmatute,0.012452107279693486
JVMariBoso,AliciaSCamacho,0.11302681992337164
ruanojavier,Adrilastra,0.02812858783008037
ruanojavier,_mundus,0.017795637198622274
ruanojavier,mrenau,0.029276693455797934
ruanojavier,sorayapsoe,0.027554535017221583
ruanojavier,JVMariBoso,0.05970149253731343
ruanojavier,ruanojavier,1.0
ruanojavier,soniafetesoro,0.032721010332950634
ruanojavier,ManoloMonereo,0.001148105625717566
ruanojavier,frdelatorre,0.05625717566016074
ruanojavier,luzseijo,0.014351320321469576
ruanojavier,CesarJRamos,0.04420206659012629
ruanojavier,sanchezcastejon,0.0
ruanojavier,lciuro,0.014351320321469576
ruanojavier,Mjesusserranoj,0.02066590126291619
ruanojavier,GirautaOficial,0.03501722158438576
ruanojavier,herrerobono,0.16590126291618829
ruanojavier,martintoledano,0.19001148105625718
ruanojavier,isabelrguez,0.025832376578645237
ruanojavier,vicpiriz1975,0.09357060849598163
ruanojavier,RitaBosaho,0.010907003444316877
ruanojavier,casanyeta,0.00975889781859931
ruanojavier,felipe_sicilia,0.015499425947187142
